"next_page_token","results__business_status","results__formatted_address","results__geometry__location__lat","results__geometry__location__lng","results__geometry__viewport__|","results__geometry__viewport__|__lat","results__geometry__viewport__|__lng","results__icon","results__name","results__photos__height","results__photos__html_attributions__-","results__photos__photo_reference","results__photos__width","results__place_id","results__plus_code__compound_code","results__plus_code__global_code","results__rating","results__reference","results__types__001","results__types__002","results__types__003","results__user_ratings_total","status","results__opening_hours__open_now"
"ATtYBwKCCcefaUEnOriNWfhiKGrrt8M-SSN5MlZ4n3hcqCCTHguRgjv-iatODBBtuk6j3UOTM0e0Vvq07PIxvMTid2j3mR3IWU-R8MANCaK3J80busACnghD9Nnd-3vuWQXubx5JBvJIHtTL-IzbR8fXu532iVBdAvsewf5Za7GrZu7yj5KK-JTe29oHEeCZKDepFtjRYh7APexs9YjrXECMryyZpT2LCFTxVvAS4KTgnK6Ytxuot9dGv1GAZG_DxVUh9DxzUn2TBfcnmaEkDrm52HY2feOJXv9m3nl7-grF1WaEYfo6ggCl61Gblq1YsXOFDDPXXrAHCGAdPTwDpavubxfZhrXWOqj__hLxNevKLJNmzzzc8Lbmy0bjNKFsXIYwCbGc1wRrZiUi-J-ajmrfPZ2Rr0wSZ5jQ9l_Saz0","OPERATIONAL","Nglinggo, Nglinggo Barat, Pagerharjo, Samigaluh, Kabupaten Kulon Progo, Daerah Istimewa Yogyakarta 55673, Indonesia","-7.6539622","110.1409322","northeast","-7.652603220107277","110.1422508798927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Rimbono Home Stay","597","<a href=""https://maps.google.com/maps/contrib/113247328586472359628"">rimbono homestay</a>","ATtYBwII4Kow2VQ9c0acgo-jZS15Of6mJlTig4a0t5qHPMyOt3VF3ZQPZw5S66u6a1K99k7UJ3CJMqQcReFDVLm5_VqiFzBPOJY0dUGWVbPYjrnTZeKbtqtjG5RH1_Q7hOkmLoN6gf_1n-j7Vm7FdgAAsTIFNJXMDzUWnQhhtFsd5h78fInb","960","ChIJ68YQ9O_yei4RkRRorn3r1MQ","84WR+C9 Pagerharjo, Kulon Progo Regency, Special Region of Yogyakarta","6P4G84WR+C9","4.5","ChIJ68YQ9O_yei4RkRRorn3r1MQ","lodging","point_of_interest","establishment","449","OK",""
"","","","","","southwest","-7.655302879892721","110.1395512201073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Jalan Abdul Jalil RT/RW 01/03, Rw. II, Tambakrejo, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah 54118, Indonesia","-7.714664699999999","110.02904","northeast","-7.713288770107277","110.0302452798927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Dedalem Tambakrejo Private Residence","3120","<a href=""https://maps.google.com/maps/contrib/103986146034293318205"">trimujoko bayuaji</a>","ATtYBwI3D3mXL93inWfojsIABi2sZhKAMHaPGdhS9jETEfhZC5_FEoHe8vCJNzDA0mWc-0d1tCOugQrEs7g3c9hAojVNNpTgl88-KMFnSZ8DAUVNyV7e9Bz_HRNmtlqSMfqbm8S0dRUVlA1_lsKrZMEML3hieRlUnZBdrncbK8b_bRoLJNo","4160","ChIJPSJBjlLrei4RBGiLpgdu5N0","72PH+4J Tambakrejo, Purworejo Regency, Central Java","6P4G72PH+4J","4.5","ChIJPSJBjlLrei4RBGiLpgdu5N0","lodging","point_of_interest","establishment","42","","True"
"","","","","","southwest","-7.715988429892721","110.0275456201073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Jl. Tentara Pelajar, Rw. III, Doplang, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah 54114, Indonesia","-7.721318","109.9922666","northeast","-7.720089870107278","109.9937720798927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Hotel Plaza","3000","<a href=""https://maps.google.com/maps/contrib/113213868761396810188"">A Google User</a>","ATtYBwLb0G-Ztah02lIVc1RB6sOxtyUNm85LcV08i68XyKX5gs1DyTYE1lpb5IfQt2V3-5BtFYr77fSB4o6yNGGPVbqznn7CcHjFZG87mAO5fY3QNjZfvTzzp037G1blyuC0V2Y96c2BhEJ79hGyQDAskLRSJEzXnq20yHYN1TZzNLX788GT","4000","ChIJnTDIDS7qei4Roi4Y7RQK3Kc","7XHR+FW Doplang, Purworejo Regency, Central Java","6P4F7XHR+FW","4","ChIJnTDIDS7qei4Roi4Y7RQK3Kc","lodging","point_of_interest","establishment","922","",""
"","","","","","southwest","-7.722789529892721","109.9910724201073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Jl. Pangeran Diponegoro No.105, Serdo Timur, Kutoarjo, Kec. Kutoarjo, Kabupaten Purworejo, Jawa Tengah 54251, Indonesia","-7.7219473","109.9126135","northeast","-7.720404670107277","109.9139003298927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Hotel Sawunggalih Kutoarjo","3456","<a href=""https://maps.google.com/maps/contrib/102302228299570743024"">Sawunggalih Hotel</a>","ATtYBwKXvqpFh1c86Vcrpc4bOyJSpodRd13MvLz6gPueTmVBZ_zL0N9trlbQwdFghc4vFLv0Mv75E5JAY-sTq7UWgdnSprVFoFUTy6j4TNVOv3Kb75Tb0_Vovv6Nwys2P9zoJN6UKzIdAiog6udBGgAhLHcBMAWj8KhziA_E2mehzjUG1w6t","5184","ChIJ_XFBGprBei4R43pSNbvgQoc","7WH7+62 Kutoarjo, Purworejo Regency, Central Java","6P4F7WH7+62","4","ChIJ_XFBGprBei4R43pSNbvgQoc","lodging","point_of_interest","establishment","701","","True"
"","","","","","southwest","-7.723104329892721","109.9112006701073","","","","","","","","","","","","","","","","",""
"","OPERATIONAL","Jalan Raya Kutoarjo - Purworejo Km. 2, Bandungrejo, Bayan, Bandungrejo, Bayan, Dusun Empat, Bandungrejo, Kec. Bayan, Kabupaten Purworejo, Jawa Tengah 54222, Indonesia","-7.719510700000001","109.9275462","northeast","-7.718294070107277","109.9288818798927","https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png","Massagus Hotel","3456","<a href=""https://maps.google.com/maps/contrib/117085337908837806655"">tommy</a>","ATtYBwJu37JkbwyLvSXV36a-dLN6I3U9Fb7pvgvhV-hSr66QTs68yY_Ka-Bss9whZnKiVIQeZGiwQs9A05VcqHmcjwsThRjMPxePgqSpPpgRBJNfTqfN2-mNYZE1Q2qAH41sq7uc9Ra9iN6HqsbmdKiTV7jWnGYnKff6VYn-4FUXM8XlTJC9","4608","ChIJpfB4oOzBei4RfFp4qe8VUc8","7WJH+52 Bandungrejo, Purworejo Regency, Central Java","6P4F7WJH+52","4.2","ChIJpfB4oOzBei4RfFp4qe8VUc8","lodging","point_of_interest","establishment","351","",""
"","","","","","southwest","-7.72099372989272","109.9261822201073","","","","","","","","","","","","","","","","",""
